תאריך,ספק,מספר חשבונית,מטבע,סכום מקורי,שער המרה,"סכום בש""ח",הערות
2026-06-08,AMI (עמי) טכנולוגיות רפואיות,SI26020048,ILS,7080.00,1,7080.00,מזרקי Sculptra לאדוונס אסתטיקס
2026-06-08,Apple (CapCut),770145119147,ILS,153.60,1,153.60,
2026-06-08,Celonis (Make.com),2688-4597,USD,54.28,2.9168,158.32,
2026-06-08,Eleven Labs,2609-1019-9091,USD,22.00,2.9168,64.17,
2026-06-08,Epic Games,A1117437934,ILS,236.35,1,236.35,
2026-06-08,Wolt - לנדוור סינמה סיטי,6a270de63f037158b5e40f45,ILS,86.45,1,86.45,
2026-06-08,חברת החשמל,300068534487,ILS,264.69,1,264.69,קבלה לתשלום חשבונית חשמל 2026-420818154 (18/3-18/5)
2026-06-09,Wolt - וולט מרקט,6a2814b4d238765b51b7332f,ILS,337.50,1,337.50,
2026-06-10,Anthropic,2788-5628-7662,USD,45.00,2.9784,134.03,
2026-06-10,Anthropic,2751-6850-5757,USD,25.00,2.9784,74.46,
2026-06-10,Muscle Booster,bcfb142175f38f978dbb039fe8a423ee,USD,6.93,2.9784,20.64,
2026-06-10,Wolt - וולט מרקט,6a292f98fe8a44aeb5c40776,ILS,13.90,1,13.90,
2026-06-10,Wolt - וולט מרקט,6a293a5cac2016106819d216,ILS,14.70,1,14.70,
2026-06-10,Wolt - וולט מרקט,6a29608e7a3d4e1da9e8912f,ILS,10.20,1,10.20,
2026-06-10,Wolt - וולט מרקט,6a295b9948a0636c2fc9a324,ILS,12.50,1,12.50,
2026-06-10,Wolt - פיק א פוקה,6a2948eccd612d7150911f21,ILS,172.00,1,172.00,
2026-06-10,סנדביץ' בר אקספרס,35474,ILS,569.00,1,569.00,לקוח: advance aesthetic; כיבוד קל
2026-06-11,Gett,UNKNOWN,ILS,104.30,1,104.30,ride receipt
2026-06-11,Wolt - פוקי בר,6a2ab22c72e36e42b5cdfb1a,ILS,121.00,1,121.00,
2026-06-12,Wolt - וולט מרקט,6a2ba0c423b011de091b1e41,ILS,20.90,1,20.90,
2026-06-12,Wolt - חומוס זוהרה,6a2bd54234024d7603ecad32,ILS,223.90,1,223.90,
2026-06-12,Wolt - מאפיית דון לאון,6a2b98a923b011de091b0cb4,ILS,203.90,1,203.90,
2026-06-12,Wolt - פלאפל שושנה,6a2bd5efe55f3d95cfcc64e2,ILS,39.00,1,39.00,
2026-06-13,Wolt - וולט מרקט,6a2d91868c2ad721784c3bf3,ILS,436.91,1,436.91,
2026-06-13,Wolt - מקדונלד'ס,6a2d3a907404025164782609,ILS,129.90,1,129.90,
2026-06-14,PayPro Global (GREEN-API),42991799,USD,12.00,2.9207,35.05,
2026-06-14,Wolt - וולט מרקט,6a2e81822bb969bd56e6c02e,ILS,7.90,1,7.90,
2026-06-14,Wolt - חלום יעקב,6a2e354a6499aa7d52d872c3,ILS,473.90,1,473.90,
2026-06-14,Wolt - פוקי בר,6a2e9c810b3647e40c7777c3,ILS,69.00,1,69.00,
2026-06-15,Apple (Wabi),674147353974,ILS,13.90,1,13.90,
2026-06-15,Celonis (Make.com),2241-4660,USD,10.05,2.9113,29.26,
2026-06-16,Celonis (Make.com),2784-5062,USD,45.23,2.9119,131.71,
2026-06-16,Wolt - פרשמרקט,6a30e6451b86e6987ef49150,ILS,84.03,1,84.03,
2026-06-16,"ד""ר גיא שלום בע""מ",31979,ILS,7080.00,1,7080.00,לקוח: אדוונס אסתטיק אקדמי; שיעורי אקדמיה רופא עור
2026-06-16,הילה ש.מ מבנים,157956,ILS,8006.00,1,8006.00,שכירות משרד 06/26 - חיוב כפול שבוטל בזיכוי 8931
2026-06-16,הילה ש.מ מבנים,8931,ILS,-8006.00,1,-8006.00,חשבונית זיכוי כנגד 157956
2026-06-16,סופה הסעות וטיולים,157958,ILS,8006.00,1,8006.00,שכירות משרד 06/26 עבור AAA
2026-06-17,Clara Marketing,2085-3497,ILS,65.00,1,65.00,
2026-06-17,Muscle Booster,4fa8491b-079f-4571-b20c-03c1b4b3262a,USD,49.95,2.9207,145.89,
2026-06-17,Wolt - וולט מרקט,6a324b36712505e98a2410dd,ILS,7.35,1,7.35,
2026-06-17,Wolt - וולט מרקט,6a32a7d48b1a96055286fc52,ILS,25.90,1,25.90,
2026-06-17,סנדביץ' בר אקספרס,35532,ILS,549.00,1,549.00,לקוח: advance aesthetic; כיבוד קל
2026-06-18,Apple,676149133825,ILS,189.50,1,189.50,
2026-06-18,Apple (iCloud+ 2TB),772148842582,ILS,39.90,1,39.90,
2026-06-18,Gett,UNKNOWN,ILS,128.80,1,128.80,ride receipt
2026-06-18,Wolt - וולט מרקט,6a33d0252dc79de16dcdb285,ILS,10.00,1,10.00,
2026-06-18,Wolt - וולט מרקט,6a33e40df471df0a91e5365e,ILS,11.50,1,11.50,
2026-06-18,בר חן - מוסיקאית,91,ILS,1416.00,1,1416.00,לקוח: יוסף דן גור ואדוונס אסתטיק; צילום ועריכת וידאו
2026-06-18,"חיוך ראשון בע""מ",98013,ILS,300.00,1,300.00,לקוח: אושר דנגור; קבלה 66875
2026-06-19,Apple (Apple Music),766149407181,ILS,21.90,1,21.90,
2026-06-19,Wolt - כיד המלך,6a34e1bd74c1c0cad082fa94,ILS,176.80,1,176.80,
2026-06-21,Celonis (Make.com),2190-5575,USD,55.85,2.9622,165.44,
2026-06-21,Wolt - גוד מורנינג סאנשיין,6a36d46121879575d4edd147,ILS,397.90,1,397.90,
2026-06-21,Wolt - וולט מרקט,6a37a5c861c0c95bb6ee0c3a,ILS,75.15,1,75.15,
2026-06-21,Wolt - וולט מרקט,6a37c523a0a6142bfedef0e8,ILS,9.90,1,9.90,
2026-06-21,Wolt - וולט מרקט,6a37ea44b89e0b04dae58de2,ILS,8.90,1,8.90,
2026-06-21,Wolt - וולט מרקט,6a37fc5cccd8f1c7cc6c0aa5,ILS,75.40,1,75.40,
2026-06-22,Wolt - הנכד של אברם,6a39683a66035c0c6f96d39d,ILS,151.90,1,151.90,
2026-06-22,Wolt - וולט מרקט,6a394f0d451b654767818a14,ILS,83.50,1,83.50,
2026-06-22,Wolt - מקדונלד׳ס,6a39105a0ef82670f7ec6d5d,ILS,187.90,1,187.90,
2026-06-22,Wolt - סופר יודה,6a396b22016402541fe8e69b,ILS,67.41,1,67.41,
2026-06-23,Apple,860151209430,ILS,111.70,1,111.70,
2026-06-23,Wolt - הנכד של אברם,6a3a8d239ef75da7206742a3,ILS,155.90,1,155.90,
2026-06-23,Wolt - וולט מרקט,6a3a8bcd248e79fff4c85210,ILS,242.30,1,242.30,
2026-06-23,Wolt - סופר יודה,6a3a17027cf8518cb7655d7d,ILS,147.10,1,147.10,
2026-06-24,Wolt - וולט מרקט,6a3bb31c20ed8c2b39863eb3,ILS,8.90,1,8.90,
2026-06-24,Wolt - וולט מרקט,6a3c135607d63582ab4cf1ca,ILS,5.90,1,5.90,
2026-06-24,Wolt - מקדונלד׳ס,6a3bac9e28d256eac4e2bedb,ILS,101.05,1,101.05,
2026-06-24,סנדביץ' בר אקספרס,35617,ILS,554.00,1,554.00,לקוח: advance aesthetic; כיבוד קל
2026-06-25,Apple,660152079688,ILS,204.70,1,204.70,
2026-06-25,Pipeboard,2032-1302,USD,29.90,2.9759,88.98,
2026-06-25,Wolt - וולט מרקט,6a3cd1892144f56a723baee3,ILS,215.30,1,215.30,
2026-06-25,Wolt - ויקטורי,6a3d39dbd04a9ba7012e76f6,ILS,99.58,1,99.58,
2026-06-25,Wolt - רוטשילד 33,6a3cd0491a52d881e10d368a,ILS,102.10,1,102.10,
2026-06-26,Anthropic,2100-7812-2329,USD,20.00,2.9979,59.96,
2026-06-28,Lovable,2636-0541,GBP,88.00,3.9626,348.71,
2026-06-28,Wolt - וולט מרקט,6a40cc99dd87f246e4ccc825,ILS,10.00,1,10.00,
2026-06-28,Wolt - וולט מרקט,6a40df63eff9c2ec1542c73f,ILS,8.90,1,8.90,
2026-06-28,Wolt - וולט מרקט,6a40fb6a8a8cd780d12e0f94,ILS,10.00,1,10.00,
2026-06-28,Wolt - וולט מרקט,6a4103061f10220f73e4c429,ILS,41.30,1,41.30,
2026-06-28,Wolt - מאפיית דון לאון,6a40ae9c32dd0cbd35c0a5c0,ILS,453.90,1,453.90,
2026-06-29,שני גולן כהן,61707,ILS,960.00,1,960.00,לקוח: יוסף דן גור; טיפול
2026-06-30,Apple,850154719044,ILS,519.60,1,519.60,
2026-06-30,Google Workspace,5612919402,EUR,2.72,3.3953,9.24,Business Starter 19-30.6
2026-06-30,Wolt - ברד,6a43d06bbc575909ea076559,ILS,161.90,1,161.90,
2026-06-30,Wolt - הטוניסאי,6a438ce43d4cfa2f31d8aacf,ILS,37.00,1,37.00,
2026-06-30,Wolt - הטריפוליטאי,6a438c9bbfc6821a66b779ec,ILS,186.90,1,186.90,
2026-06-30,סופה הסעות וטיולים,158110,ILS,7830.00,1,7830.00,ארנונה 7-8/26 עבור AAA
2026-06-30,קארדקום סליקה,186881,ILS,424.61,1,424.61,עמלות סליקה יוני; מחזור 26430 הועבר נטו 26005.39
2026-06-30,שקרון דניאל רוג'ר (שכירות),01/010057,ILS,3245.00,1,3245.00,שכירות 06/26 חלק 1 מתוך 2
2026-06-30,שקרון דניאל רוג'ר (שכירות),01/010058,ILS,3245.00,1,3245.00,שכירות 06/26 חלק 2 מתוך 2

,"סה""כ בש""ח",,,,,117641.95,

מסמכים ללא סכום - מספרי חשבונית ידועים
2026-05-02,רבו פילאטיס (upapp/hyp),UNKNOWN,ILS,,,,קובץ לא סונכרן
2026-05-03,אייס (מולטי ריטייל),RC269170767,ILS,,,,קבלה/חשבונית מצורפת - לא סונכרנה
2026-05-10,סופר-פארם אונליין,UNKNOWN,ILS,,,,חשבונית מצורפת - לא סונכרנה
2026-05-10,רבו פילאטיס (upapp/hyp),UNKNOWN,ILS,,,,קובץ לא סונכרן
2026-05-11,החברה העירונית ראשון לציון (infocash),UNKNOWN,ILS,,,,אישור רישום לפעילות - קבלה לא סונכרנה
2026-05-11,צמרת מימונים (ישראכרט),UNKNOWN,ILS,,,,הודעה - החשבונית באתר
2026-05-12,פתאל (InfoGifts),184818,ILS,,,,קבלה בקובץ מצורף - לא נגיש
2026-05-20,רבו פילאטיס (upapp/hyp),UNKNOWN,ILS,,,,קובץ לא סונכרן
2026-05-24,רבו פילאטיס (upapp/hyp),UNKNOWN,ILS,,,,קובץ לא סונכרן
2026-05-24,רבו פילאטיס (upapp/hyp),UNKNOWN,ILS,,,,קובץ לא סונכרן
2026-05-24,רבו פילאטיס (upapp/hyp),זיכוי-1009326346,ILS,,,,זיכוי ביטול חשבונית 1009326346
2026-05-28,רבו פילאטיס (upapp/hyp),UNKNOWN,ILS,,,,קובץ לא סונכרן
2026-06-07,רבו פילאטיס (upapp/hyp),1009513336,ILS,,,,קובץ לא סונכרן - octet-stream
2026-06-09,רבו פילאטיס (upapp/hyp),1009535688,ILS,,,,קובץ לא סונכרן - octet-stream
2026-06-13,רבו פילאטיס (upapp/hyp),1009589130,ILS,,,,קובץ לא סונכרן - octet-stream
2026-06-16,רבו פילאטיס (upapp/hyp),1009636310,ILS,,,,קובץ לא סונכרן - octet-stream
2026-06-17,רבו פילאטיס (upapp/hyp),1009647719,ILS,,,,קובץ לא סונכרן - octet-stream
2026-06-22,רבו פילאטיס (upapp/hyp),1009703108,ILS,,,,קובץ לא סונכרן - octet-stream
2026-06-28,רבו פילאטיס (upapp/hyp),1009776913,ILS,,,,קובץ לא סונכרן - octet-stream
